Month,Special Category Visa (subclass 444)(f),Permanent Family Visas,Permanent Skilled Visas,Permanent Other Visas,Permanent Visas - Total,Temporary Student Visas - Higher Educ.,Temporary Student Visas - Vocational Educ. & Training,Temporary Student Visas - Schools,Temporary Student Visas - Independent ELICOS(g),Temporary Student Visas - Postgraduate Research,Temporary Student Visas - Other Students,Temporary Student Visas - Total,Temporary Visitor Visas,Temporary Skilled Visas,Temporary Work Visas,Temporary Other Visas,Temporary Other Visas - Total,Other Visas(h),Total(i),State
Jul-2023,9250,2160,3830,8250,14250,8410,1060,190,220,250,480,10610,26110,2470,2560,4800,9830,260,187330,WA
Aug-2023,10220,2810,3770,7240,13820,2560,680,30,440,200,170,4070,36120,2430,4280,5760,12470,290,175350,WA
Sep-2023,11930,2420,3390,7270,13080,1750,730,30,550,160,110,3330,36990,2560,5480,5770,13820,140,178630,WA
Oct-2023,12790,2470,3780,9060,15300,1820,770,100,240,220,60,3210,38320,2260,4700,5110,12070,140,197840,WA
Nov-2023,11250,2230,3370,7260,12860,2200,430,10,290,160,110,3210,48930,2390,4580,5610,12580,190,177360,WA
Dec-2023,12890,2320,3630,6380,12330,2940,610,30,190,150,30,3960,59600,2110,3100,4620,9840,160,178720,WA
Jan-2024,14000,3720,6990,12110,22820,3970,1330,440,340,400,170,6650,29620,4270,5190,8360,17820,150,236450,WA
Feb-2024,11460,2890,5210,8430,16530,11340,840,80,330,410,680,13670,54320,2490,5260,7150,14910,140,198250,WA
Mar-2024,12700,2620,4240,7050,13920,2050,630,30,270,260,30,3280,55510,2610,4690,6410,13700,90,186930,WA
Apr-2024,12830,2990,4700,9960,17650,1710,930,160,320,270,140,3530,41080,3370,3960,5890,13220,60,195940,WA
May-2024,11450,2340,3990,7270,13600,1250,540,30,170,150,50,2200,45400,2650,4920,5550,13120,160,172920,WA
Jun-2024,11250,2630,3730,7210,13570,2590,600,50,250,250,80,3830,43950,3390,4630,5120,13130,150,183080,WA
Jul-2024,12410,3050,5040,9030,17130,8660,1090,300,130,270,600,11050,35080,3720,4320,5190,13220,140,225400,WA
Jan-2014,1400,160,210,300,680,160,10,60,10,40,50,320,3380,170,130,90,390,0,13030,TAS
Feb-2014,720,80,290,330,700,1170,30,130,0,50,100,1480,3600,70,110,120,310,30,11600,TAS
Mar-2014,850,110,250,270,630,150,10,0,0,20,10,180,2570,90,130,100,320,0,8780,TAS
Apr-2014,630,90,40,240,360,110,10,0,20,30,20,190,2170,40,110,70,220,10,9280,TAS
May-2014,710,110,110,350,570,70,20,0,10,30,20,160,1320,70,70,80,220,0,10610,TAS
Jun-2014,340,50,110,360,520,130,0,0,0,20,20,170,930,90,90,70,250,0,9550,TAS
Jul-2014,620,110,120,200,440,580,20,80,0,40,90,830,950,120,40,60,210,0,13240,TAS
Aug-2014,840,110,200,190,490,190,0,0,0,20,20,240,1140,130,190,40,360,20,10860,TAS
Sep-2014,500,180,100,210,500,130,0,0,0,40,40,210,1290,50,70,90,210,0,10110,TAS
Oct-2014,700,170,150,560,890,90,30,20,0,30,10,180,2550,60,180,130,360,0,14970,TAS
Nov-2014,1390,60,180,280,530,140,10,0,0,40,40,240,4020,80,120,370,550,20,13240,TAS
Dec-2014,1150,110,60,190,360,140,20,0,0,30,0,190,6860,80,140,120,340,0,15040,TAS
Jan-2015,920,130,310,300,740,380,10,40,10,50,80,570,3670,130,120,170,420,20,12690,TAS
Feb-2015,790,90,160,180,430,1090,40,120,10,30,90,1380,5190,60,170,150,380,40,12430,TAS
Mar-2015,670,170,130,270,580,190,0,0,0,40,40,280,3290,50,80,220,340,0,10500,TAS
Apr-2015,910,160,80,250,490,170,10,20,0,30,20,260,1910,50,90,140,290,0,9510,TAS
May-2015,500,80,110,280,480,90,30,0,0,20,10,160,1530,100,50,40,190,0,8570,TAS
Jun-2015,600,170,100,220,490,140,20,10,0,30,40,230,1330,60,90,120,270,10,10170,TAS
Jul-2015,670,80,230,310,620,610,10,140,20,70,80,930,1650,110,40,130,290,0,13850,TAS
Aug-2015,620,120,150,290,550,110,10,10,0,60,0,190,1720,50,130,60,240,0,11410,TAS
Sep-2015,550,180,100,320,610,160,10,0,0,60,20,240,1860,50,100,90,250,0,11380,TAS
Oct-2015,1190,140,200,340,680,70,20,30,10,30,0,150,2240,100,210,100,410,50,15310,TAS
Nov-2015,990,140,90,260,490,80,0,0,0,50,10,150,4540,80,120,200,400,0,11980,TAS
Dec-2015,950,100,130,150,380,260,0,0,0,60,20,350,7500,110,130,210,450,0,14790,TAS
Jan-2016,990,130,220,220,570,280,20,30,0,50,20,400,4020,90,190,180,460,10,12760,TAS
Feb-2016,920,130,240,220,590,1170,10,70,0,60,120,1420,5550,170,190,80,430,0,14260,TAS
Mar-2016,1080,90,170,170,420,130,0,10,0,50,10,200,4270,80,80,40,200,20,10960,TAS
Apr-2016,790,130,130,340,600,90,10,40,0,30,10,170,2570,50,60,80,200,0,10630,TAS
May-2016,880,120,70,150,340,60,0,0,0,10,10,100,1850,90,90,130,300,0,9850,TAS
Jun-2016,540,160,120,280,560,220,10,0,0,50,30,310,2070,80,100,230,410,0,10950,TAS
Jul-2016,770,280,230,240,760,790,20,240,0,60,80,1190,2230,120,60,110,290,0,15560,TAS
Aug-2016,620,170,170,330,660,160,10,20,30,90,10,320,2260,60,70,120,260,0,12260,TAS
Sep-2016,540,260,180,320,760,160,10,0,10,50,20,260,2450,90,90,80,260,10,12800,TAS
Oct-2016,620,100,220,430,750,50,10,100,10,40,0,210,3080,110,130,160,390,0,17050,TAS
Nov-2016,870,190,250,300,740,70,0,0,10,70,10,170,5230,70,160,370,600,0,15090,TAS
Dec-2016,1110,130,110,250,480,220,20,0,10,40,10,300,8310,70,150,190,400,0,16800,TAS
Jan-2017,1030,150,260,450,860,250,70,30,30,50,30,460,5270,170,130,260,560,30,14020,TAS
Feb-2017,900,170,230,280,690,1530,50,190,30,90,80,1980,4720,110,200,120,430,10,14720,TAS
Mar-2017,950,90,100,350,540,240,0,0,10,70,20,350,4250,60,170,250,480,30,12150,TAS
Apr-2017,830,120,140,240,500,110,30,10,0,40,50,240,3360,80,120,80,270,0,11820,TAS
May-2017,740,90,200,260,560,90,10,0,0,40,30,180,2210,110,120,70,300,30,12330,TAS
Jun-2017,380,190,310,370,880,200,10,0,0,40,30,280,2570,80,80,170,320,10,13150,TAS
Jul-2017,800,120,330,370,820,1220,50,170,10,70,110,1630,3050,100,90,200,380,120,18230,TAS
Aug-2017,550,50,190,370,610,200,10,0,0,40,30,300,3550,140,60,210,400,40,14900,TAS
Sep-2017,730,120,240,320,670,330,30,0,10,80,70,520,3580,130,130,200,460,10,15060,TAS
Oct-2017,910,150,290,370,800,110,30,20,10,70,20,260,4600,160,160,240,560,20,20370,TAS
Nov-2017,1030,220,320,370,920,150,50,0,10,40,10,260,6920,60,210,450,720,0,15990,TAS
Dec-2017,980,130,250,110,490,310,10,0,10,30,10,370,11120,80,170,430,680,0,20370,TAS
Jan-2018,1260,170,340,230,740,380,60,40,10,80,50,620,5630,120,210,440,760,0,16880,TAS
Feb-2018,1070,120,240,270,640,1960,120,210,0,60,110,2460,9020,100,200,290,570,60,19650,TAS
Mar-2018,1510,180,230,350,760,480,30,0,10,60,30,610,6690,50,200,270,520,0,16370,TAS
Apr-2018,1060,180,340,350,870,240,30,40,10,50,30,400,4300,90,90,180,360,0,15100,TAS
May-2018,1150,120,290,440,840,80,20,10,10,30,30,190,3070,100,70,130,300,0,14380,TAS
Jun-2018,880,170,360,260,790,270,30,20,0,60,10,390,2950,100,150,250,510,0,14010,TAS
Jul-2018,690,90,330,500,930,1440,60,160,0,70,40,1770,2880,130,80,300,510,10,19220,TAS
Aug-2018,450,170,330,370,860,240,50,20,0,80,10,400,2880,90,80,190,370,0,14290,TAS
Sep-2018,1250,120,490,410,1020,240,60,0,0,70,30,400,3060,90,110,210,420,30,16280,TAS
Oct-2018,1240,170,410,480,1060,130,90,60,0,60,30,370,4410,100,150,510,760,10,21690,TAS
Nov-2018,1550,120,460,280,860,120,30,0,0,70,0,230,6460,80,270,830,1170,0,18320,TAS
Dec-2018,1290,120,320,300,730,340,70,0,0,50,0,470,11390,70,190,580,840,0,22190,TAS
Jan-2019,1210,180,500,360,1040,530,80,30,0,90,30,770,6200,150,190,560,900,0,18300,TAS
Feb-2019,1280,170,600,310,1080,2280,160,290,10,100,50,2880,8790,90,300,630,1010,10,20680,TAS
Mar-2019,1130,130,560,310,1000,420,70,20,20,50,0,580,6630,100,170,410,670,0,17560,TAS
Apr-2019,1490,100,450,270,820,170,120,30,0,70,20,410,4420,80,130,250,470,30,15220,TAS
May-2019,480,120,390,250,760,180,80,20,0,60,10,360,3330,100,160,400,670,0,15660,TAS
Jun-2019,670,140,380,330,850,260,90,0,20,70,0,430,3100,120,60,520,710,20,14470,TAS
Jul-2019,890,140,390,500,1030,1460,160,110,0,90,70,1900,2970,150,60,450,660,10,20200,TAS
Aug-2019,920,280,340,410,1020,210,110,10,0,60,30,420,4350,120,70,280,480,0,18140,TAS
Sep-2019,880,230,410,520,1160,220,90,0,10,50,30,400,3650,110,160,360,630,10,16850,TAS
Oct-2019,1330,100,500,560,1170,140,150,60,0,60,20,430,4610,100,160,550,810,10,21560,TAS
Nov-2019,1350,130,510,260,910,240,80,0,0,50,0,380,7140,60,240,1440,1740,10,20470,TAS
Dec-2019,1600,70,470,400,940,320,100,10,0,40,10,480,11660,60,180,610,840,40,22720,TAS
Jan-2020,800,170,690,250,1100,500,200,80,10,80,10,870,8040,120,260,610,1000,30,20650,TAS
Feb-2020,1230,160,640,460,1260,1310,190,170,10,100,110,1890,6100,90,180,440,700,10,18510,TAS
Mar-2020,990,60,450,220,730,490,60,0,0,50,0,590,2530,20,130,290,440,20,10110,TAS
Apr-2020,0,10,10,10,30,0,0,0,0,0,0,0,0,0,0,10,10,0,210,TAS
May-2020,0,10,10,10,20,0,0,10,0,0,0,10,0,0,0,10,20,0,140,TAS
Jun-2020,0,10,30,10,40,0,0,0,0,0,0,0,10,0,0,0,0,0,170,TAS
Jul-2020,10,10,10,0,20,0,0,0,0,0,0,0,10,0,0,0,0,0,140,TAS
Aug-2020,10,10,20,10,30,0,0,0,0,0,0,0,0,0,0,10,10,0,120,TAS
Sep-2020,10,0,10,0,20,0,0,0,0,0,0,0,10,10,0,0,10,0,100,TAS
Oct-2020,0,0,10,0,20,0,0,0,0,0,0,10,10,10,0,30,40,0,170,TAS
Nov-2020,30,10,30,10,40,0,0,0,0,0,0,0,10,10,0,10,20,0,230,TAS
Dec-2020,20,10,30,10,50,0,0,0,0,0,0,0,30,10,0,240,240,0,490,TAS
Jan-2021,20,10,20,10,30,0,0,0,0,0,0,10,20,10,0,290,300,0,500,TAS
Feb-2021,20,10,20,10,40,0,0,0,0,0,0,0,50,10,0,10,30,0,240,TAS
Mar-2021,30,10,20,10,40,0,0,0,0,0,0,0,10,10,0,80,100,0,300,TAS
Apr-2021,130,20,30,10,50,0,0,0,0,0,0,0,20,0,0,90,90,0,450,TAS
May-2021,350,10,50,20,80,0,0,0,0,0,0,0,30,10,0,40,50,0,910,TAS
Jun-2021,390,10,40,10,60,0,0,0,0,0,0,0,30,10,0,10,30,0,890,TAS
Jul-2021,400,10,30,10,50,0,0,0,0,0,0,10,20,10,0,40,40,0,1110,TAS
Aug-2021,40,10,20,10,40,10,0,0,0,0,0,10,20,10,0,160,160,0,450,TAS
Sep-2021,0,10,20,10,40,10,0,0,0,0,0,10,10,10,0,120,120,0,290,TAS
Oct-2021,10,10,20,10,30,0,0,0,0,0,0,0,70,10,0,270,280,0,500,TAS
Nov-2021,10,20,50,20,90,0,0,0,0,0,0,0,60,20,0,480,500,0,860,TAS
Dec-2021,80,50,190,30,260,150,40,10,0,20,0,220,300,30,10,540,580,10,2010,TAS
Jan-2022,60,60,200,50,310,260,40,20,0,50,0,370,320,70,10,80,170,10,1970,TAS
Feb-2022,60,50,240,50,340,330,60,20,0,20,0,440,460,20,30,140,180,0,2230,TAS
Mar-2022,240,50,280,50,380,130,90,10,0,20,0,250,1070,50,40,270,370,0,3280,TAS
Apr-2022,450,70,350,100,520,90,80,10,0,10,0,180,1420,40,40,230,310,0,4540,TAS
May-2022,420,110,510,130,750,60,120,0,0,30,0,220,1330,50,20,420,500,10,5970,TAS
Jun-2022,410,140,510,190,840,190,110,0,10,20,30,360,1640,50,30,560,640,0,6960,TAS
Jul-2022,780,100,540,200,840,310,90,50,0,40,40,530,1290,60,40,340,450,10,9400,TAS
Aug-2022,550,220,510,360,1090,90,100,10,10,30,10,250,1630,50,30,490,570,10,9980,TAS
Sep-2022,1040,130,430,220,780,90,90,0,0,50,0,230,1700,70,70,470,610,0,10620,TAS
Oct-2022,1620,130,550,240,910,60,80,10,0,30,0,170,2730,60,70,910,1040,20,13570,TAS
Nov-2022,1620,160,660,300,1120,130,210,0,10,30,10,400,4120,70,130,1760,1960,20,14330,TAS
Dec-2022,1580,70,640,300,1010,190,150,0,10,30,0,380,6350,60,80,1370,1510,40,15370,TAS
Jan-2023,1150,120,740,300,1150,260,130,20,0,50,20,470,3640,100,160,880,1150,30,13730,TAS
Feb-2023,1910,120,880,360,1370,830,210,80,10,60,90,1290,4940,70,130,860,1060,10,16220,TAS
Mar-2023,1930,110,980,230,1320,180,160,0,10,40,0,400,5300,120,190,870,1180,10,15090,TAS
Apr-2023,1400,150,890,230,1280,100,90,50,10,30,0,290,3030,100,90,450,630,40,12850,TAS
May-2023,950,90,890,270,1240,130,100,0,0,40,10,290,2230,60,100,620,770,0,11310,TAS
Jun-2023,760,160,830,290,1280,340,130,10,0,50,30,560,2630,80,80,860,1020,10,13830,TAS
Jul-2023,910,160,660,430,1250,510,120,100,10,30,20,800,1950,80,50,480,620,20,15860,TAS
Aug-2023,800,170,810,370,1350,140,80,10,10,70,10,330,2560,110,100,600,800,0,15870,TAS
Sep-2023,620,100,730,470,1300,90,100,0,10,40,0,240,2550,80,150,480,720,10,14290,TAS
Oct-2023,1640,260,840,470,1580,80,90,30,0,50,0,250,3330,80,170,740,990,0,20040,TAS
Nov-2023,2080,230,920,350,1510,120,50,0,10,50,20,250,4260,70,180,1910,2170,0,17440,TAS
Dec-2023,1130,180,960,140,1280,270,70,10,10,50,0,420,7060,50,190,1480,1710,0,17730,TAS
Jan-2024,1380,140,1190,280,1610,280,80,50,0,60,20,480,4660,110,130,1070,1320,0,17040,TAS
Feb-2024,1690,120,1070,210,1400,730,90,140,0,30,120,1130,6740,140,260,860,1260,30,17460,TAS
Mar-2024,2580,100,1030,250,1380,180,50,10,0,40,20,300,5740,70,220,610,900,10,17640,TAS
Apr-2024,1380,90,800,310,1210,70,30,40,20,50,0,210,2910,100,130,470,700,10,14510,TAS
May-2024,720,170,870,350,1400,70,40,10,0,50,0,170,3050,80,190,530,800,0,14770,TAS
Jun-2024,630,180,700,360,1240,110,40,0,0,40,0,190,2570,90,130,540,760,20,13060,TAS
Jul-2024,700,140,680,370,1180,460,50,110,10,30,70,720,2570,120,120,310,550,0,16510,TAS
Jan-2014,1280,580,1050,400,2020,120,30,70,10,50,30,310,2080,1290,570,450,2300,210,19440,NT
Feb-2014,780,360,810,250,1420,310,20,10,0,10,30,380,2780,540,430,300,1260,140,14180,NT
Mar-2014,660,280,620,130,1020,170,30,0,10,10,0,220,3470,590,490,330,1410,270,15000,NT
Apr-2014,900,500,420,190,1110,140,130,100,20,20,160,560,6360,1450,490,800,2730,890,19170,NT
May-2014,1050,350,510,230,1100,50,30,0,0,50,20,150,4100,560,700,430,1680,200,15300,NT
Jun-2014,1210,190,520,240,960,70,40,10,10,40,40,210,4760,780,900,400,2080,290,16660,NT
Jul-2014,1460,360,590,340,1290,490,30,50,10,80,90,750,7200,1020,890,720,2630,810,24250,NT
Aug-2014,1130,380,500,320,1200,180,20,20,30,40,30,320,6770,810,900,410,2120,510,20000,NT
Sep-2014,1030,280,460,170,910,80,40,0,0,10,0,130,5450,650,1030,490,2170,250,18510,NT
Oct-2014,1290,250,340,250,840,50,40,20,20,20,60,210,5380,750,820,500,2070,250,17880,NT
Nov-2014,800,270,400,250,920,120,20,30,20,20,10,210,5670,510,390,580,1480,240,17500,NT
Dec-2014,790,230,460,180,860,80,20,0,0,10,0,110,3000,510,290,290,1080,30,12690,NT
Jan-2015,1320,490,1240,460,2190,120,40,80,0,10,10,260,1880,1200,550,580,2320,120,20250,NT
Feb-2015,680,390,520,290,1190,390,40,10,10,10,30,490,3490,490,400,400,1280,200,13050,NT
Mar-2015,770,270,560,160,980,170,20,0,0,20,10,220,3980,490,510,320,1310,60,13230,NT
Apr-2015,1210,320,620,290,1230,180,80,20,10,60,200,550,6410,1260,460,650,2380,1280,19230,NT
May-2015,960,220,350,290,870,90,10,20,0,30,10,170,3330,530,660,310,1500,180,12940,NT
Jun-2015,930,380,390,130,890,240,140,10,0,40,30,450,8820,1370,680,530,2580,1230,20440,NT
Jul-2015,1490,350,640,210,1190,390,110,50,10,30,150,750,8210,800,550,730,2070,470,22160,NT
Aug-2015,1540,170,580,360,1110,60,30,0,20,20,10,150,5690,500,580,320,1400,220,16140,NT
Sep-2015,1100,280,310,190,780,60,10,0,0,0,30,110,4480,660,730,350,1730,400,15740,NT
Oct-2015,740,190,380,230,800,50,40,10,10,0,50,170,4800,510,490,480,1470,260,15600,NT
Nov-2015,1210,260,470,190,910,100,20,0,10,10,0,140,3690,410,460,410,1280,250,14830,NT
Dec-2015,750,180,520,80,780,100,10,0,10,10,0,140,2660,460,250,200,900,60,11440,NT
Jan-2016,1080,520,1380,510,2410,130,80,50,20,20,10,320,1690,1000,440,460,1890,40,19360,NT
Feb-2016,930,280,600,270,1150,370,40,0,20,30,80,550,3140,420,350,240,1020,110,12880,NT
Mar-2016,610,280,500,190,970,120,20,0,20,10,0,160,3670,490,270,420,1180,140,13020,NT
Apr-2016,1060,160,630,230,1030,100,40,10,0,10,80,250,5020,820,430,550,1790,1200,16950,NT
May-2016,710,310,610,140,1060,60,30,10,0,10,10,120,3410,540,540,500,1590,100,12990,NT
Jun-2016,1130,220,440,140,810,120,40,10,0,10,30,210,3700,380,640,260,1270,130,14020,NT
Jul-2016,1140,330,730,340,1400,720,150,70,30,30,180,1170,8770,980,500,730,2210,990,25110,NT
Aug-2016,830,340,570,240,1150,100,40,10,10,50,20,230,6550,700,770,480,1950,320,18240,NT
Sep-2016,1340,230,580,220,1030,70,50,0,10,0,10,150,5470,480,770,490,1740,400,17390,NT
Oct-2016,1460,300,450,360,1110,80,40,50,0,0,90,260,4520,560,500,370,1440,170,17260,NT
Nov-2016,1090,250,500,280,1030,80,50,0,0,10,0,150,3130,440,460,480,1380,140,14650,NT
Dec-2016,630,260,300,150,720,120,20,0,0,0,0,150,4490,330,260,250,840,170,13070,NT
Jan-2017,1330,550,1240,470,2260,110,60,80,10,10,10,280,2100,1050,430,320,1800,140,19570,NT
Feb-2017,840,290,700,380,1370,630,70,20,10,40,110,880,3920,500,300,640,1450,350,16180,NT
Mar-2017,850,290,370,280,940,110,40,0,10,20,10,180,3670,500,500,390,1390,240,14670,NT
Apr-2017,1420,340,520,310,1170,90,80,10,10,10,60,250,4430,740,390,450,1580,1370,18220,NT
May-2017,840,250,430,230,910,60,10,0,0,10,30,110,4640,610,550,420,1570,620,15260,NT
Jun-2017,960,320,440,230,990,90,20,0,0,20,30,160,6810,760,700,520,1980,280,16960,NT
Jul-2017,1880,290,670,590,1550,280,30,120,10,20,40,490,6280,640,550,450,1650,270,25170,NT
Aug-2017,1290,280,500,360,1140,80,10,10,10,20,0,140,5860,490,850,550,1870,320,21100,NT
Sep-2017,1210,260,640,420,1330,60,30,0,10,10,0,100,5380,540,860,670,2060,290,20280,NT
Oct-2017,1680,330,630,490,1460,60,50,40,0,40,20,200,5130,510,520,560,1590,390,23480,NT
Nov-2017,1130,380,680,450,1510,60,30,0,10,20,40,170,4500,450,400,430,1280,210,19970,NT
Dec-2017,930,300,530,180,1010,80,20,0,10,0,0,120,3270,400,270,370,1050,70,14640,NT
Jan-2018,1240,450,1120,800,2370,160,70,100,0,40,10,370,2190,830,330,690,1860,100,21440,NT
Feb-2018,480,260,610,290,1160,430,40,10,0,20,20,530,2640,390,220,580,1200,140,13080,NT
Mar-2018,1320,230,460,310,1000,110,40,0,10,30,0,200,3030,360,300,360,1020,550,12720,NT
Apr-2018,1250,190,570,310,1070,80,40,20,0,20,40,210,3070,620,460,460,1540,1200,15150,NT
May-2018,1160,220,460,380,1050,40,30,0,10,10,0,90,3470,350,390,320,1070,270,13200,NT
Jun-2018,1150,260,370,310,940,70,30,0,0,10,10,120,4470,290,440,390,1130,170,13280,NT
Jul-2018,1190,290,480,350,1110,180,20,70,0,10,40,330,5600,390,360,580,1330,1020,17720,NT
Aug-2018,990,220,430,300,960,30,30,10,0,10,0,80,6180,250,500,340,1090,250,15550,NT
Sep-2018,1020,230,240,330,800,40,10,0,10,20,10,80,4500,360,440,820,1620,350,14010,NT
Oct-2018,820,240,340,220,800,40,20,30,0,10,0,100,3720,340,240,390,960,100,13410,NT
Nov-2018,640,290,320,250,860,90,30,0,10,0,0,140,4210,220,300,360,880,240,12960,NT
Dec-2018,630,200,420,310,930,80,30,0,10,10,0,130,4360,170,180,220,570,70,12350,NT
Jan-2019,980,370,1100,650,2120,140,100,50,10,20,10,330,2080,560,200,470,1240,100,17530,NT
Feb-2019,390,300,700,430,1430,420,50,10,10,40,20,540,3700,260,320,460,1050,40,13600,NT
Mar-2019,620,160,550,220,920,140,20,10,10,20,30,220,3140,200,320,430,950,590,12000,NT
Apr-2019,590,220,500,360,1080,60,50,20,0,0,10,130,3510,310,380,1040,1730,1510,15360,NT
May-2019,620,120,540,390,1050,40,40,0,10,10,10,120,4130,240,480,580,1300,300,13580,NT
Jun-2019,1180,200,350,370,930,60,50,0,10,10,0,130,4900,180,460,410,1040,150,14520,NT
Jul-2019,1480,220,500,560,1290,250,80,40,10,20,10,410,5880,220,480,560,1260,980,19790,NT
Aug-2019,1190,190,440,250,890,110,20,10,20,0,0,160,6480,100,590,450,1140,280,17210,NT
Sep-2019,1250,200,380,230,820,50,50,10,10,0,10,120,5650,140,510,1050,1700,390,16970,NT
Oct-2019,870,180,310,320,820,70,40,40,0,10,0,160,5410,250,290,630,1170,230,16580,NT
Nov-2019,680,160,470,290,910,90,50,0,20,0,10,170,3040,160,290,460,900,180,11920,NT
Dec-2019,550,190,390,240,810,110,40,10,10,10,20,180,3660,130,130,340,600,50,11550,NT
Jan-2020,830,300,1030,600,1930,170,180,60,0,30,0,440,2640,390,260,660,1310,50,17330,NT
Feb-2020,530,240,620,470,1340,320,70,10,10,10,40,450,2980,180,340,600,1110,30,12380,NT
Mar-2020,540,180,330,170,680,150,20,0,0,10,0,190,960,70,120,250,430,110,6950,NT
Apr-2020,10,10,10,10,20,0,0,0,0,0,0,0,0,0,0,0,10,0,150,NT
May-2020,20,10,20,0,40,0,0,0,0,0,0,0,0,20,0,40,60,0,180,NT
Jun-2020,20,10,20,10,40,0,0,0,0,0,0,0,10,10,0,30,30,240,410,NT
Jul-2020,20,0,0,10,10,0,0,0,0,0,0,0,10,0,0,20,20,0,120,NT
Aug-2020,10,10,0,10,10,0,0,0,0,0,0,0,10,0,0,10,20,20,140,NT
Sep-2020,10,10,10,10,20,0,0,0,0,0,0,0,10,10,0,120,130,150,390,NT
Oct-2020,20,10,10,10,30,0,0,0,0,0,0,0,10,20,0,40,50,10,160,NT
Nov-2020,30,10,30,10,40,0,0,0,0,0,0,0,20,0,0,30,30,0,220,NT
Dec-2020,40,10,10,0,20,0,0,0,0,0,0,0,10,10,0,20,20,0,150,NT
Jan-2021,20,20,30,10,60,0,0,0,0,0,30,30,10,20,0,40,70,20,310,NT
Feb-2021,40,10,10,0,20,0,0,0,0,0,0,0,10,10,0,30,40,0,180,NT
Mar-2021,30,10,20,10,40,0,0,0,0,0,0,0,20,10,0,50,60,280,530,NT
Apr-2021,80,10,10,10,30,0,0,0,0,0,0,0,10,10,0,70,80,0,270,NT
May-2021,190,20,20,0,40,0,0,0,0,0,0,0,70,10,0,40,50,10,510,NT
Jun-2021,190,10,20,10,40,0,0,0,0,0,0,0,20,10,0,50,70,120,580,NT
Jul-2021,190,10,20,10,40,0,0,0,0,0,0,0,20,20,0,30,60,160,630,NT
Aug-2021,60,30,70,40,130,0,0,0,0,0,10,10,40,20,0,300,310,20,880,NT
Sep-2021,20,30,70,30,130,0,0,0,0,0,0,0,230,10,0,470,480,100,1200,NT
Oct-2021,20,40,70,30,140,0,0,0,0,0,0,0,20,20,0,170,190,60,700,NT
Nov-2021,50,40,60,40,140,0,0,0,0,0,0,10,50,40,0,200,240,30,790,NT
Dec-2021,30,50,110,20,180,90,40,0,0,10,0,150,190,50,10,90,140,20,1020,NT
Jan-2022,60,60,150,50,270,90,30,10,0,10,0,130,180,50,30,140,220,20,1470,NT
Feb-2022,50,60,150,50,270,100,20,0,0,20,0,150,270,50,40,440,530,190,1890,NT
Mar-2022,100,50,160,50,250,80,30,0,0,10,0,130,390,40,40,210,290,50,1750,NT
Apr-2022,300,60,180,80,310,50,40,0,0,10,10,100,710,80,80,250,420,240,3110,NT
May-2022,440,120,260,210,590,70,70,0,0,0,10,160,1140,90,90,560,730,60,5030,NT
Jun-2022,540,80,200,90,380,50,30,0,0,0,0,90,980,70,70,340,470,50,4060,NT
Jul-2022,740,180,380,210,770,100,50,20,0,10,10,200,1810,120,200,510,840,240,8680,NT
Aug-2022,670,100,320,220,630,210,20,0,10,10,0,250,2680,140,220,740,1100,1470,10130,NT
Sep-2022,580,150,290,200,650,80,40,0,0,10,20,160,2070,80,300,700,1080,280,8680,NT
Oct-2022,660,150,340,230,720,50,40,0,10,0,0,100,1410,150,170,650,970,90,8390,NT
Nov-2022,560,110,420,200,730,110,50,10,10,10,0,190,1790,110,240,560,910,30,9140,NT
Dec-2022,510,100,460,140,710,120,50,10,10,10,0,190,1960,100,100,320,530,10,7120,NT
Jan-2023,790,210,790,340,1350,120,120,20,20,20,10,310,1220,160,120,580,860,60,11670,NT
Feb-2023,280,190,580,330,1100,440,70,20,10,30,10,570,1670,170,220,540,930,220,9370,NT
Mar-2023,530,120,570,200,880,400,50,0,10,20,0,480,1790,180,240,790,1200,1100,9350,NT
Apr-2023,530,130,420,190,740,70,70,10,0,10,0,180,1750,100,190,580,870,1040,9810,NT
May-2023,710,160,380,260,800,90,40,0,10,10,20,170,2070,170,290,600,1060,230,9350,NT
Jun-2023,1050,110,470,210,790,270,60,0,10,10,0,360,2560,140,310,510,960,460,10100,NT
Jul-2023,710,140,410,270,830,450,50,20,0,20,10,540,2770,150,210,680,1040,1000,12230,NT
Aug-2023,900,170,390,190,750,100,30,0,20,10,0,160,2610,160,370,650,1170,460,10860,NT
Sep-2023,410,130,340,260,730,90,40,0,0,10,10,140,2520,110,380,710,1200,390,10040,NT
Oct-2023,780,70,330,170,570,140,30,10,10,20,0,200,2400,130,180,640,940,50,10140,NT
Nov-2023,450,150,470,280,900,180,50,0,20,10,0,270,1820,140,220,630,990,100,9130,NT
Dec-2023,390,120,430,170,720,170,40,0,0,10,0,220,1990,190,160,480,830,40,8370,NT
Jan-2024,830,250,860,450,1560,150,110,10,10,20,0,300,1310,230,210,790,1230,80,12740,NT
Feb-2024,410,190,820,240,1240,410,60,10,10,20,0,520,2000,190,270,850,1310,30,9970,NT
Mar-2024,440,130,550,240,920,220,30,0,0,10,0,260,1430,190,340,920,1460,890,10120,NT
Apr-2024,750,170,500,250,920,70,60,10,10,10,0,150,2370,210,300,730,1240,530,11080,NT
May-2024,830,80,630,280,1000,50,30,0,0,10,0,90,2100,150,340,680,1180,510,11210,NT
Jun-2024,850,180,390,280,850,90,30,0,10,20,0,150,2780,190,360,790,1340,500,11270,NT
Jul-2024,1190,130,400,190,720,240,20,30,0,10,10,310,3590,230,270,970,1460,920,13860,NT
